code,name,sector,report_date,notice_date,revenue_cny,revenue_yoy_pct,net_profit_cny,net_profit_yoy_pct,gross_margin_pct,ocf_cny,inventory_cny,accounts_receivable_cny,capex_cny,pre_close_raw,ret_1d_pct,ret_5d_pct,ret_20d_pct,excess_1d_pct,excess_5d_pct,excess_20d_pct,date_1d,date_5d,date_20d,ttm_revenue_cny,ttm_net_profit_cny,financial_source,cashflow_source,balance_source,price_source,benchmark_source
002594,比亚迪,电动车/动力电池,2020-09-30,2020-10-30,105022633000,11.9384155475,3413570000,116.83,20.748947515,28663476000,32892862000,38907717000,9176983000,159.81,5.112320881046228,19.166510230899192,8.941868468806714,2.559156244206462,14.75936692301758,4.65125615522477,2020-11-02,2020-11-06,2020-11-27,138939359000,3453724000,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_LICO_FN_CPD&columns=ALL&filter=%28SECURITY_CODE%3D%22002594%22%29&pageNumber=1&pageSize=500,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_DMSK_FN_CASHFLOW&columns=ALL&filter=%28SECURITY_CODE%3D%22002594%22%29&pageNumber=1&pageSize=500,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_DMSK_FN_BALANCE&columns=ALL&filter=%28SECURITY_CODE%3D%22002594%22%29&pageNumber=1&pageSize=500,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.002594&klt=101&fqt=0&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.399808&klt=101&fqt=0&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61
002594,比亚迪,电动车/动力电池,2020-12-31,2021-03-30,156597691000,22.5923764595,4234267000,162.27,19.3785175287,45392668000,31396358000,41216427000,11774094000,169.0,-2.6568047337278133,1.1775147928994034,-2.071005917159763,-2.081795313063761,0.28185388097912156,-7.297380985197899,2021-03-31,2021-04-07,2021-04-28,156597691000,4234267000,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_LICO_FN_CPD&columns=ALL&filter=%28SECURITY_CODE%3D%22002594%22%29&pageNumber=1&pageSize=500,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_DMSK_FN_CASHFLOW&columns=ALL&filter=%28SECURITY_CODE%3D%22002594%22%29&pageNumber=1&pageSize=500,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_DMSK_FN_BALANCE&columns=ALL&filter=%28SECURITY_CODE%3D%22002594%22%29&pageNumber=1&pageSize=500,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.002594&klt=101&fqt=0&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.399808&klt=101&fqt=0&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61
002594,比亚迪,电动车/动力电池,2021-03-31,2021-04-29,40991873000,108.3074701368,237356000,110.73,12.5949916951,141856000,35813906000,36994803000,4207848000,162.95,-2.687941086222767,-10.058300092052775,16.2687941086223,-5.236973030248704,-9.155973247746374,4.252780704515624,2021-04-30,2021-05-11,2021-06-01,177911022000,4358987000,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_LICO_FN_CPD&columns=ALL&filter=%28SECURITY_CODE%3D%22002594%22%29&pageNumber=1&pageSize=500,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_DMSK_FN_CASHFLOW&columns=ALL&filter=%28SECURITY_CODE%3D%22002594%22%29&pageNumber=1&pageSize=500,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_DMSK_FN_BALANCE&columns=ALL&filter=%28SECURITY_CODE%3D%22002594%22%29&pageNumber=1&pageSize=500,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.002594&klt=101&fqt=0&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.399808&klt=101&fqt=0&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61
002594,比亚迪,电动车/动力电池,2021-06-30,2021-08-28,90885400000,50.2163876672,1173571000,-29.41,12.763856461,9676845000,39686413000,37982499000,10407215000,288.15,-2.144716293597071,-11.813291688356742,-14.329342356411578,-5.5482334228978525,-8.02762452775465,-9.170422325468596,2021-08-30,2021-09-03,2021-09-28,186980105000,3745408000,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_LICO_FN_CPD&columns=ALL&filter=%28SECURITY_CODE%3D%22002594%22%29&pageNumber=1&pageSize=500,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_DMSK_FN_CASHFLOW&columns=ALL&filter=%28SECURITY_CODE%3D%22002594%22%29&pageNumber=1&pageSize=500,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_DMSK_FN_BALANCE&columns=ALL&filter=%28SECURITY_CODE%3D%22002594%22%29&pageNumber=1&pageSize=500,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.002594&klt=101&fqt=0&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.399808&klt=101&fqt=0&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61
002594,比亚迪,电动车/动力电池,2021-09-30,2021-10-29,145192358000,38.2486363677,2443112000,-28.43,12.9749383917,31873711000,40699200000,37198579000,20719095000,311.31,-2.990588159712182,0.8640904564581886,-4.384696925893794,-1.9900868234734803,4.8917547427646095,-2.239214675959922,2021-11-01,2021-11-05,2021-11-26,196767416000,3263809000,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_LICO_FN_CPD&columns=ALL&filter=%28SECURITY_CODE%3D%22002594%22%29&pageNumber=1&pageSize=500,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_DMSK_FN_CASHFLOW&columns=ALL&filter=%28SECURITY_CODE%3D%22002594%22%29&pageNumber=1&pageSize=500,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_DMSK_FN_BALANCE&columns=ALL&filter=%28SECURITY_CODE%3D%22002594%22%29&pageNumber=1&pageSize=500,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.002594&klt=101&fqt=0&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.399808&klt=101&fqt=0&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61
002594,比亚迪,电动车/动力电池,2021-12-31,2022-03-30,216142395000,38.0239987063,3045188000,-28.08,13.0213723226,65466682000,43354782000,36251280000,37343609000,237.02,-3.0461564424943077,2.9364610581385397,2.522993840182264,0.12999971044833636,10.417727953602595,19.882549698083285,2022-03-31,2022-04-08,2022-04-29,216142395000,3045188000,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_LICO_FN_CPD&columns=ALL&filter=%28SECURITY_CODE%3D%22002594%22%29&pageNumber=1&pageSize=500,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_DMSK_FN_CASHFLOW&columns=ALL&filter=%28SECURITY_CODE%3D%22002594%22%29&pageNumber=1&pageSize=500,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_DMSK_FN_BALANCE&columns=ALL&filter=%28SECURITY_CODE%3D%22002594%22%29&pageNumber=1&pageSize=500,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.002594&klt=101&fqt=0&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.399808&klt=101&fqt=0&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61
002594,比亚迪,电动车/动力电池,2022-03-31,2022-04-28,66825185000,63.0205699554,808408000,240.59,12.4014920423,11933340000,53433422000,34994831000,13454362000,231.98,4.7504095180619155,0.5819467195447903,27.55841020777654,0.3316049711294067,-5.516686045797559,9.03458581388934,2022-04-29,2022-05-10,2022-05-31,241975707000,3616240000,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_LICO_FN_CPD&columns=ALL&filter=%28SECURITY_CODE%3D%22002594%22%29&pageNumber=1&pageSize=500,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_DMSK_FN_CASHFLOW&columns=ALL&filter=%28SECURITY_CODE%3D%22002594%22%29&pageNumber=1&pageSize=500,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_DMSK_FN_BALANCE&columns=ALL&filter=%28SECURITY_CODE%3D%22002594%22%29&pageNumber=1&pageSize=500,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.002594&klt=101&fqt=0&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.399808&klt=101&fqt=0&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61
002594,比亚迪,电动车/动力电池,2022-06-30,2022-08-30,150607252000,65.7111615287,3595279000,206.35,13.5065036576,43185167000,57235044000,37163395000,36128310000,310.85,-7.357246260254147,-12.19559272961236,-14.550426250603188,-3.062019798612503,-9.337218079903364,-1.8319284900705002,2022-08-31,2022-09-06,2022-09-28,275864247000,5466896000,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_LICO_FN_CPD&columns=ALL&filter=%28SECURITY_CODE%3D%22002594%22%29&pageNumber=1&pageSize=500,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_DMSK_FN_CASHFLOW&columns=ALL&filter=%28SECURITY_CODE%3D%22002594%22%29&pageNumber=1&pageSize=500,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_DMSK_FN_BALANCE&columns=ALL&filter=%28SECURITY_CODE%3D%22002594%22%29&pageNumber=1&pageSize=500,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.002594&klt=101&fqt=0&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.399808&klt=101&fqt=0&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61
002594,比亚迪,电动车/动力电池,2022-09-30,2022-10-29,267687847000,84.3677247807,9311467000,281.13,15.8919803333,91036733000,73434508000,36968493000,64278202000,239.89,2.8262953853849693,16.803534953520362,2.150985868523092,3.3946719419941207,6.415096703777401,2.903299361039935,2022-10-31,2022-11-04,2022-11-25,338637884000,9913543000,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_LICO_FN_CPD&columns=ALL&filter=%28SECURITY_CODE%3D%22002594%22%29&pageNumber=1&pageSize=500,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_DMSK_FN_CASHFLOW&columns=ALL&filter=%28SECURITY_CODE%3D%22002594%22%29&pageNumber=1&pageSize=500,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_DMSK_FN_BALANCE&columns=ALL&filter=%28SECURITY_CODE%3D%22002594%22%29&pageNumber=1&pageSize=500,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.002594&klt=101&fqt=0&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.399808&klt=101&fqt=0&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61
002594,比亚迪,电动车/动力电池,2022-12-31,2023-03-29,424060635000,96.1950292075,16622448000,445.86,17.0364681456,140837657000,79107199000,38828494000,97456862000,247.7,3.83528461849012,0.928542591844983,4.529672991522005,2.9984301286993587,1.4788550681246182,7.8973323291228965,2023-03-30,2023-04-06,2023-04-27,424060635000,16622448000,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_LICO_FN_CPD&columns=ALL&filter=%28SECURITY_CODE%3D%22002594%22%29&pageNumber=1&pageSize=500,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_DMSK_FN_CASHFLOW&columns=ALL&filter=%28SECURITY_CODE%3D%22002594%22%29&pageNumber=1&pageSize=500,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_DMSK_FN_BALANCE&columns=ALL&filter=%28SECURITY_CODE%3D%22002594%22%29&pageNumber=1&pageSize=500,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.002594&klt=101&fqt=0&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.399808&klt=101&fqt=0&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61
